variable;include;filter;facet;reduced;group;subscale;analysis;type;2015;2016;2017;2018;2019
p_id;TRUE;FALSE;FALSE;FALSE;ID;ID;FALSE;character;;;;;
p_id.old;TRUE;FALSE;FALSE;FALSE;ID;ID_OLD;FALSE;integer;;;NA;NA;
p_number.old;TRUE;FALSE;FALSE;FALSE;ID;ID_OLD;FALSE;integer;;;NA;NA;
measurements;TRUE;TRUE;FALSE;TRUE;META;DATA;FALSE;integer;;;;;
test_year;TRUE;FALSE;TRUE;TRUE;TEST;ID;FALSE;integer;;;;;
test_wave;TRUE;FALSE;TRUE;TRUE;TEST;ID;FALSE;integer;;;;;
test_date;TRUE;FALSE;FALSE;FALSE;TEST;TIME;FALSE;character;NA;NA;NA;;
test_time;TRUE;FALSE;FALSE;FALSE;TEST;TIME;FALSE;character;NA;NA;NA;;
time.started;TRUE;FALSE;FALSE;FALSE;TEST;TIME;FALSE;Temporal;;;;;
time.finished;TRUE;FALSE;FALSE;FALSE;TEST;TIME;FALSE;Temporal;;;;;
n_data;TRUE;FALSE;FALSE;FALSE;TEST;DATA;FALSE;integer;NA;NA;NA;;
status;TRUE;TRUE;FALSE;FALSE;TEST;DATA;FALSE;character;NA;NA;NA;;
country;TRUE;TRUE;TRUE;TRUE;META;ID;FALSE;character;;;;;
country.formative_years;TRUE;TRUE;FALSE;FALSE;META;ORIGIN;FALSE;character;;;;;
country.nationality;TRUE;TRUE;FALSE;FALSE;META;ORIGIN;FALSE;character;;;;;
school;TRUE;TRUE;TRUE;TRUE;META;ID;FALSE;character;;;;;
age_group;TRUE;TRUE;TRUE;TRUE;META;AGE;FALSE;character;;;;;
year_group_de;TRUE;TRUE;FALSE;FALSE;META;AGE;FALSE;integer;;;;NA;
year_group_uk;TRUE;TRUE;FALSE;FALSE;META;AGE;FALSE;integer;;;;;
year_group;TRUE;TRUE;TRUE;TRUE;META;AGE;FALSE;integer;;;;;
absolute_pitch;TRUE;TRUE;FALSE;TRUE;META;AP;FALSE;integer;;;;;
academic.applied;TRUE;FALSE;FALSE;TRUE;DATA;ACADEMIC;TRUE;numeric;;;;;
academic.languages;TRUE;FALSE;FALSE;TRUE;DATA;ACADEMIC;TRUE;numeric;;;;;
academic.maths_sciences;TRUE;FALSE;FALSE;TRUE;DATA;ACADEMIC;TRUE;numeric;;;;;
academic.music;TRUE;FALSE;FALSE;TRUE;DATA;ACADEMIC;TRUE;numeric;;;;;
